COMMAND;PID;USER;FD;TYPE;DEVICE;SIZE/OFF;NODE;NAME
python;11306;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11306;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11306;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11326;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11326;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11326;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11346;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11346;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11346;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11599;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11599;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11599;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11639;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11639;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11639;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11702;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11702;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11702;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11830;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11830;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11830;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11870;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11870;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11870;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11910;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11910;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11910;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;11963;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;11963;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;11963;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12047;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12047;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12047;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12070;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12070;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12070;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12140;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12140;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12140;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12160;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12160;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12160;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12201;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12201;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12201;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12272;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12272;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12272;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12324;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12324;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12324;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12388;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12388;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12388;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12429;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12429;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12429;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12458;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12458;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12458;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12510;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12510;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12510;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12572;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12572;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12572;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12633;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12633;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12633;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12693;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12693;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12693;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12795;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12795;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12795;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12840;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12840;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12840;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12925;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12925;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12925;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;12986;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;12986;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;12986;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13010;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13010;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13010;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13050;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13050;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13050;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13090;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13090;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13090;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13114;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13114;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13114;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13214;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13214;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13214;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13258;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13258;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13258;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13317;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13317;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13317;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13341;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13341;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13341;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13361;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13361;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13361;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13382;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13382;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13382;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13402;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13402;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13402;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13426;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13426;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13426;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13446;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13446;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13446;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13467;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13467;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13467;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13490;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13490;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13490;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13511;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;13511;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;13511;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;13836;tarkus;49u;CHR;195,3;0t0;567;/dev/nvidia3
